id;intitule;ecole;specialite;niveau;date_obtention
1;Savings Account;Tasty Belize Incredible Metal Chair;syndicate hack;leverage Checking Account;2021-03-25
2;Handcrafted Steel Chair;SMS Swaziland Andorra;productivity;Timor-Leste;2021-03-25
3;Metal vertical Internal;Legacy Small Steel Salad Marketing;Incredible JBOD;Hat Tasty Metal Mouse;2021-03-25
4;Mauritania;24/7 Cote d'Ivoire overriding;Outdoors;JBOD Dale Small Concrete Sausages;2021-03-25
5;digital framework;real-time Bedfordshire Tuvalu;hack;South Dakota;2021-03-25
6;Communications matrices;Cayman Islands Dollar Health;back-end visualize Research;streamline;2021-03-25
7;Rustic Metal Sausages HDD;digital Ergonomic;Ergonomic TCP;Tasty;2021-03-25
8;Technician;purple Granite;exploit;e-enable payment Credit Card Account;2021-03-24
9;bleeding-edge infrastructure Salad;invoice withdrawal;Georgia Administrator;Idaho;2021-03-25
10;Pizza Bacon;Associate Intelligent Soft Table e-business;solution-oriented Venezuela;Tuna platforms transitional;2021-03-25
